state,value
Alabama,5
Alaska,5
Arkansas,15
Arizona,15
California,20
Colorado,15
Connecticut,15
Delaware,15
District of Columbia,15
Florida,20
Georgia,10
Hawaii,15
Iowa,15
Idaho,15
Illinois,15
Indiana,15
Kansas,15
Kentucky,10
Louisiana,20
Maine,15
Maryland,15
Massachusetts,15
Michigan,15
Minnesota,15
Missouri,15
Mississippi,5
Montana,15
North Carolina,20
North Dakota,15
Nebraska,15
New Hampshire,15
New Jersey,15
New Mexico,15
Nevada,15
New York,15
Ohio,10
Oklahoma,15
Oregon,20
Pennsylvania,15
Rhode Island,15
South Carolina,15
South Dakota,15
Tennessee,15
Texas,20
Utah,15
Virginia,15
Vermont,15
Washington,15
Wisconsin,20
West Virginia,0
Wyoming,5
